config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	calib_shrink	zero_iso_weight	dropout_iso_weight	constrained_zero_scale	p_bio_temp	p_bio_bias	thr_drop	avg_rmse	avg_bz_rmse	score
79	0.0	0.7	0.8	0.0	0.3	0.3	False	1.0	1.0	0.95	0.6824061125516891	1.0327589511871338	1.3739620074629784
84	0.0	0.7	0.8	0.0	0.3	0.3	False	1.5	1.0	0.99	0.6823311001062393	1.0330951362848282	1.3742606863379478
60	0.0	0.7	0.8	0.0	0.3	0.0	False	1.5	1.0	0.99	0.6823311150074005	1.0330951660871506	1.3742607235908508
6	0.0	0.7	0.8	0.0	0.0	0.0	False	1.0	0.5	0.99	0.6855746209621429	1.0315804779529572	1.3743677884340286
30	0.0	0.7	0.8	0.0	0.0	0.3	False	1.0	0.5	0.99	0.6855746209621429	1.0315804779529572	1.3743677884340286
53	0.0	0.7	0.8	0.0	0.3	0.0	False	1.0	0.5	0.95	0.6825089603662491	1.0347167402505875	1.375971220433712
77	0.0	0.7	0.8	0.0	0.3	0.3	False	1.0	0.5	0.95	0.6825089603662491	1.0347167402505875	1.375971220433712
58	0.0	0.7	0.8	0.0	0.3	0.0	False	1.5	0.5	0.99	0.682543471455574	1.0355351120233536	1.3768068477511406
82	0.0	0.7	0.8	0.0	0.3	0.3	False	1.5	0.5	0.99	0.682543471455574	1.0355351120233536	1.3768068477511406
7	0.0	0.7	0.8	0.0	0.0	0.0	False	1.0	1.0	0.95	0.6884101778268814	1.0333851277828217	1.3775902166962624
31	0.0	0.7	0.8	0.0	0.0	0.3	False	1.0	1.0	0.95	0.6884101778268814	1.0333851277828217	1.3775902166962624
36	0.0	0.7	0.8	0.0	0.0	0.3	False	1.5	1.0	0.99	0.6888103932142258	1.0340226739645004	1.3784278705716133
12	0.0	0.7	0.8	0.0	0.0	0.0	False	1.5	1.0	0.99	0.688810408115387	1.034022718667984	1.3784279227256775
83	0.0	0.7	0.8	0.0	0.3	0.3	False	1.5	1.0	0.95	0.6813132911920547	1.0387553721666336	1.379412017762661
59	0.0	0.7	0.8	0.0	0.3	0.0	False	1.5	1.0	0.95	0.6813137084245682	1.0387570261955261	1.3794138804078102
5	0.0	0.7	0.8	0.0	0.0	0.0	False	1.0	0.5	0.95	0.6896190345287323	1.0359402000904083	1.3807497173547745
29	0.0	0.7	0.8	0.0	0.0	0.3	False	1.0	0.5	0.95	0.6896190345287323	1.0359402000904083	1.3807497173547745
10	0.0	0.7	0.8	0.0	0.0	0.0	False	1.5	0.5	0.99	0.6897801011800766	1.036833569407463	1.3817236199975014
34	0.0	0.7	0.8	0.0	0.0	0.3	False	1.5	0.5	0.99	0.6897801011800766	1.036833569407463	1.3817236199975014
81	0.0	0.7	0.8	0.0	0.3	0.3	False	1.5	0.5	0.95	0.6811299473047256	1.0427349656820297	1.3832999393343925
57	0.0	0.7	0.8	0.0	0.3	0.0	False	1.5	0.5	0.95	0.6811303943395615	1.0427362620830536	1.3833014592528343
35	0.0	0.7	0.8	0.0	0.0	0.3	False	1.5	1.0	0.95	0.6904405951499939	1.0413648635149002	1.3865851610898972
11	0.0	0.7	0.8	0.0	0.0	0.0	False	1.5	1.0	0.95	0.6904413253068924	1.0413680672645569	1.386588729918003
33	0.0	0.7	0.8	0.0	0.0	0.3	False	1.5	0.5	0.95	0.6908017247915268	1.0467868596315384	1.3921877220273018
9	0.0	0.7	0.8	0.0	0.0	0.0	False	1.5	0.5	0.95	0.6908024698495865	1.046789214015007	1.3921904489398003
