iter	score	ok	ARI	NMI	PS	ASW	hidden	bottleneck	batch_size	lr	epochs	p_zero	p_nz	noise_max	loss_bio_weight	loss_nz_weight	weight_decay	activation	dropout	layer_norm	residual
74	2.6909	False	0.42935999999999996	0.5783799999999999	0.71086	0.54294	[32]	128	64	5e-05	300	0.02	0.3	0.4	0.5	0.5	0.0	silu	0.2	False	False
75	4.20146	False	0.87522	0.9072000000000001	0.94708	0.5967399999999999	[256, 128]	16	8	0.0001	200	0.02	0.5	0.2	4.0	0.5	0.0	silu	0.05	True	True
76	4.02754	False	0.8601599999999999	0.8894400000000001	0.93732	0.48046000000000005	[128, 128]	128	64	0.0002	400	0.02	0.4	0.3	4.0	1.0	0.0	relu	0.05	False	True
77	4.16248	False	0.86506	0.8941399999999999	0.9403600000000001	0.5978600000000001	[128, 128]	16	128	0.001	300	0.02	0.3	0.3	4.0	2.0	1e-05	relu	0.05	False	False
78	4.214499999999999	False	0.87056	0.86442	0.90732	0.70164	[256, 128]	8	128	0.0001	300	0.02	0.3	0.4	2.0	1.0	0.0	silu	0.05	False	True
79	4.0566	False	0.8237400000000001	0.8468199999999999	0.8940400000000001	0.6682599999999999	[256, 128]	64	16	5e-05	200	0.01	0.2	0.05	1.0	0.25	0.0001	leaky_relu	0.1	True	False
80	4.20688	False	0.86462	0.87686	0.9097800000000001	0.6910000000000001	[128]	8	32	0.0002	200	0.02	0.2	0.05	4.0	1.0	0.0001	relu	0.2	False	True
81	4.1394	False	0.8599600000000001	0.8906600000000001	0.9401200000000001	0.5887	[128, 128]	32	128	0.0005	400	0.1	0.3	0.3	1.0	2.0	0.0001	leaky_relu	0.05	False	False
82	4.1660200000000005	False	0.8507199999999999	0.88066	0.93356	0.65036	[64]	32	64	0.001	300	0.05	0.3	0.4	4.0	0.5	0.001	silu	0.2	True	False
83	4.25174	False	0.8866999999999999	0.8967200000000002	0.92872	0.6529	[128, 128]	64	128	0.0005	400	0.01	0.1	0.05	1.0	0.25	0.0001	leaky_relu	0.2	True	True
84	4.09188	False	0.86984	0.8994199999999999	0.9433600000000002	0.50942	[256, 256]	128	32	0.0001	500	0.01	0.3	0.05	4.0	1.0	0.0	silu	0.1	False	True
85	3.90022	False	0.8448599999999999	0.8759600000000001	0.93108	0.40345999999999993	[128]	128	32	0.001	200	0.0	0.1	0.1	6.0	0.25	1e-05	silu	0.2	False	True
86	4.09488	False	0.85396	0.88638	0.9367000000000001	0.5638799999999999	[256, 128, 64]	64	64	5e-05	500	0.05	0.4	0.1	6.0	0.5	0.0	leaky_relu	0.0	True	True
87	4.06912	False	0.8493600000000001	0.8843800000000002	0.9324999999999999	0.55352	[128]	128	32	5e-05	500	0.02	0.2	0.3	2.0	0.25	0.001	gelu	0.1	False	True
88	4.16298	False	0.8485800000000001	0.88738	0.9353199999999999	0.64312	[256, 128, 64]	16	16	0.0002	500	0.02	0.2	0.3	6.0	2.0	1e-05	relu	0.1	True	False
89	3.9202800000000004	False	0.8281000000000001	0.8789200000000001	0.9333400000000001	0.45182	[64]	16	32	0.001	500	0.0	0.4	0.05	4.0	0.5	1e-05	relu	0.05	False	True
90	4.070480000000001	False	0.85354	0.8905	0.9362	0.5367	[256, 256]	64	16	0.0005	300	0.02	0.1	0.05	2.0	0.25	0.001	leaky_relu	0.1	False	True
91	4.17094	False	0.8590199999999999	0.88752	0.93326	0.63212	[32]	16	32	0.001	200	0.02	0.2	0.05	0.5	0.5	0.0	silu	0.05	True	True
