seed	n_pcs	n_neighbors	resolution	n_clusters	ari	nmi	batch_ari	batch_nmi	batch_silhouette	cluster_runtime_sec	dataset	path	method	display_method	impute_seed	cluster_seed	label_column	batch_column	n_cells	n_genes	n_labels	n_batches	feature_mode
42	100	30	1.0	20	0.5517737694807595	0.7943691838648146	0.18816221818113177	0.29160185506390807	0.024363024160265923	0.6737934739794582	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	100	30	1.5	25	0.4462078187773703	0.7481492072357182	0.19453359442046794	0.33754703301955585	0.024363024160265923	0.6402765791863203	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
42	100	30	2.0	28	0.40445612123527136	0.7350811646103369	0.17856579904620884	0.3369716087661193	0.024363024160265923	0.6483889389783144	Baron	datasets_original/baron-human.rds	baseline	Observed	42	42	cell_type1	human	8569	1000	14	4	label_free_hvg
43	20	10	0.2	14	0.6992361710139176	0.826610171748632	0.13345374267647556	0.19111473843496363	0.028109222650527954	0.3065830080304295	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	20	10	0.5	20	0.6366427792399033	0.8214322419523804	0.1544672764413685	0.23521868267770593	0.028109222650527954	0.3025451221037656	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	20	10	1.0	32	0.3256239835305332	0.7070079914976564	0.1061788048830286	0.26852251802672955	0.028109222650527954	0.29582817293703556	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	20	10	1.5	34	0.30279467631121326	0.6968923384133104	0.0934831217632118	0.26733736165264704	0.028109222650527954	0.29795002308674157	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	20	10	2.0	41	0.2715753151605737	0.6766114364553935	0.0884887228696277	0.27158488952299303	0.028109222650527954	0.2945142600219697	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	20	15	0.2	11	0.7959052626411293	0.8491350499871477	0.09227905134588953	0.14068153740802947	0.028109222650527954	0.3833418171852827	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	20	15	0.5	19	0.6493185491203533	0.8278394181784374	0.16027835841715743	0.23950565613808625	0.028109222650527954	0.38071318599395454	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	20	15	1.0	27	0.4118664022673101	0.7417851084841374	0.11995222840396824	0.2669371757510748	0.028109222650527954	0.3776599830016494	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	20	15	1.5	34	0.3045851790978955	0.6968347474096386	0.09924250131698323	0.2729932340532336	0.028109222650527954	0.37928785709664226	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	20	15	2.0	38	0.27219544553653363	0.6814675520276008	0.08692661897513422	0.270188009949737	0.028109222650527954	0.3787901869509369	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	20	30	0.2	10	0.7951950789852674	0.844074276257031	0.09245954054813434	0.1396779414531277	0.028109222650527954	0.6188057099934667	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	20	30	0.5	16	0.6462361968388873	0.8198280696054376	0.16382422365452132	0.24655147039459854	0.028109222650527954	0.6129473019391298	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	20	30	1.0	21	0.46624863936092564	0.7581200888448111	0.13443864778149042	0.2593659876519999	0.028109222650527954	0.6109063699841499	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	20	30	1.5	26	0.3577347519349064	0.7156949009865465	0.10974828766079602	0.2712738216603403	0.028109222650527954	0.6329196998849511	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
